datum,value
2021-11-24T21:30:00,29
2021-11-24T23:30:00,31
2021-11-25T01:30:00,35
2021-11-25T03:30:00,41
2021-11-25T05:30:00,77
2021-11-25T07:30:00,63
2021-11-25T09:30:00,78
2021-11-25T11:30:00,77
2021-11-25T13:30:00,131
2021-11-25T15:30:00,151
2021-11-25T17:30:00,149
2021-11-25T19:30:00,149
2021-11-25T21:30:00,143
2021-11-25T23:30:00,136
2021-11-26T01:30:00,138
2021-11-26T03:30:00,145
2021-11-26T05:30:00,139
2021-11-26T07:30:00,118
2021-11-26T09:30:00,101
2021-11-26T11:30:00,86
2021-11-26T13:30:00,100
2021-11-26T15:30:00,148
2021-11-26T17:30:00,149
2021-11-26T19:30:00,150
2021-11-26T21:30:00,123
2021-11-26T23:30:00,162
2021-11-27T01:30:00,144
2021-11-27T03:30:00,133
2021-11-27T05:30:00,108
2021-11-27T07:30:00,81
2021-11-27T09:30:00,68
2021-11-27T11:30:00,52
2021-11-27T13:30:00,49
2021-11-27T15:30:00,53
2021-11-27T17:30:00,72
2021-11-27T19:30:00,105
2021-11-27T21:30:00,170
2021-11-27T23:30:00,190
2021-11-28T01:30:00,211
2021-11-28T03:30:00,212
2021-11-28T05:30:00,210
2021-11-28T07:30:00,206
2021-11-28T09:30:00,238
2021-11-28T11:30:00,196
2021-11-28T13:30:00,196
2021-11-28T15:30:00,192
2021-11-28T17:30:00,175
2021-11-28T19:30:00,169
2021-11-28T21:30:00,153
2021-11-28T23:30:00,133
2021-11-29T01:30:00,116
2021-11-29T03:30:00,135
2021-11-29T05:30:00,143
2021-11-29T07:30:00,134
2021-11-29T09:30:00,164
2021-11-29T12:30:00,154
2021-11-29T14:30:00,143
2021-11-29T16:30:00,143
2021-11-29T18:30:00,145
2021-11-29T20:30:00,149
2021-11-29T22:30:00,132
2021-11-30T00:30:00,115
2021-11-30T02:30:00,145
2021-11-30T04:30:00,146
2021-11-30T06:30:00,165
2021-11-30T08:30:00,175
2021-11-30T10:30:00,179
2021-11-30T12:30:00,153
2021-11-30T14:30:00,117
2021-11-30T16:30:00,113
2021-11-30T18:30:00,105
2021-11-30T20:30:00,103
2021-11-30T22:30:00,109
2021-12-01T00:30:00,117
2021-12-01T02:30:00,124
2021-12-01T04:30:00,113
2021-12-01T06:30:00,108
2021-12-01T08:30:00,130
2021-12-01T10:30:00,165
2021-12-01T12:30:00,178
2021-12-01T14:30:00,186
2021-12-01T16:30:00,180
2021-12-01T18:30:00,183
2021-12-01T20:30:00,201
2021-12-01T22:30:00,227
2021-12-02T00:30:00,231
2021-12-02T02:30:00,215
2021-12-02T04:30:00,217
2021-12-02T06:30:00,215
2021-12-02T08:30:00,245
2021-12-02T10:30:00,275
2021-12-02T12:30:00,263
2021-12-02T14:30:00,221
2021-12-02T16:30:00,168
2021-12-02T18:30:00,158
2021-12-02T20:30:00,176
2021-12-02T22:30:00,184
2021-12-03T00:30:00,171
2021-12-03T02:30:00,109
2021-12-03T04:30:00,84
2021-12-03T06:30:00,72
2021-12-03T08:30:00,73
2021-12-03T10:30:00,83
2021-12-03T12:30:00,72
2021-12-03T14:30:00,66
2021-12-03T16:30:00,61
2021-12-03T18:30:00,51
2021-12-03T20:30:00,54
2021-12-03T22:30:00,56
2021-12-04T00:30:00,43
2021-12-04T02:30:00,38
2021-12-04T04:30:00,38
2021-12-04T06:30:00,30
2021-12-04T08:30:00,28
2021-12-04T10:30:00,32
2021-12-04T12:30:00,98
2021-12-04T14:30:00,147
2021-12-04T16:30:00,143
2021-12-04T18:30:00,143
2021-12-04T20:30:00,148
2021-12-04T22:30:00,142
2021-12-05T00:30:00,146
2021-12-05T02:30:00,129
2021-12-05T04:30:00,139
2021-12-05T06:30:00,118
2021-12-05T08:30:00,88
2021-12-05T10:30:00,76
2021-12-05T12:30:00,75
2021-12-05T14:30:00,60
2021-12-05T16:30:00,55
2021-12-05T18:30:00,64
2021-12-05T20:30:00,82
2021-12-05T22:30:00,91
2021-12-06T00:30:00,123
2021-12-06T02:30:00,117
2021-12-06T04:30:00,89
2021-12-06T06:30:00,70
2021-12-06T08:30:00,48
2021-12-06T10:30:00,48
2021-12-06T12:30:00,50
2021-12-06T14:30:00,44
2021-12-06T16:30:00,40
2021-12-06T18:30:00,42
2021-12-06T20:30:00,52
2021-12-06T22:30:00,115
2021-12-07T00:30:00,182
2021-12-07T02:30:00,186
2021-12-07T04:30:00,151
2021-12-07T06:30:00,105
2021-12-07T08:30:00,68
2021-12-07T10:30:00,55
2021-12-07T12:30:00,44
2021-12-07T14:30:00,32
2021-12-07T16:30:00,19
2021-12-07T18:30:00,26
2021-12-07T20:30:00,29
2021-12-07T22:30:00,43
2021-12-08T00:30:00,50
2021-12-08T02:30:00,70
2021-12-08T04:30:00,59
2021-12-08T06:30:00,68
2021-12-08T08:30:00,65
2021-12-08T10:30:00,51
2021-12-08T12:30:00,63
2021-12-08T14:30:00,69
2021-12-08T16:30:00,84
2021-12-08T18:30:00,66
2021-12-08T20:30:00,60
2021-12-08T22:30:00,69
2021-12-09T00:30:00,71
2021-12-09T02:30:00,93
2021-12-09T04:30:00,83
2021-12-09T06:30:00,76
2021-12-09T08:30:00,91
2021-12-09T10:30:00,86
2021-12-09T12:30:00,95
2021-12-09T14:30:00,99
2021-12-09T16:30:00,82
2021-12-09T18:30:00,55
2021-12-09T20:30:00,45
2021-12-09T22:30:00,32
2021-12-10T00:30:00,22
2021-12-10T02:30:00,19
2021-12-10T04:30:00,19
2021-12-10T06:30:00,19
2021-12-10T08:30:00,29
2021-12-10T10:30:00,136
2021-12-10T12:30:00,201
2021-12-10T14:30:00,226
2021-12-10T16:30:00,279
2021-12-10T18:30:00,285
2021-12-10T20:30:00,252
2021-12-10T22:30:00,222
2021-12-11T00:30:00,210
