datum,value
2021-06-20T10:00:00,105
2021-06-20T12:00:00,102
2021-06-20T14:00:00,84
2021-06-20T16:00:00,81
2021-06-20T18:00:00,76
2021-06-20T20:00:00,82
2021-06-20T22:00:00,81
2021-06-21T00:00:00,116
2021-06-21T02:00:00,145
2021-06-21T04:00:00,161
2021-06-21T06:00:00,167
2021-06-21T08:00:00,182
2021-06-21T10:00:00,175
2021-06-21T12:00:00,182
2021-06-21T14:00:00,191
2021-06-21T16:00:00,173
2021-06-21T18:00:00,157
2021-06-21T20:00:00,185
2021-06-21T22:00:00,193
2021-06-22T00:00:00,199
2021-06-22T02:00:00,197
2021-06-22T04:00:00,168
2021-06-22T06:00:00,138
2021-06-22T08:00:00,133
2021-06-22T10:00:00,198
2021-06-22T12:00:00,200
2021-06-22T14:00:00,177
2021-06-22T16:00:00,163
2021-06-22T18:00:00,158
2021-06-22T20:00:00,163
2021-06-22T22:00:00,183
2021-06-23T00:00:00,180
2021-06-23T02:00:00,152
2021-06-23T04:00:00,148
2021-06-23T06:00:00,121
2021-06-23T08:00:00,106
2021-06-23T10:00:00,122
2021-06-23T12:00:00,127
2021-06-23T14:00:00,116
2021-06-23T16:00:00,100
2021-06-23T18:00:00,89
2021-06-23T20:00:00,77
2021-06-23T22:00:00,70
2021-06-24T00:00:00,79
2021-06-24T02:00:00,67
2021-06-24T04:00:00,67
2021-06-24T06:00:00,63
2021-06-24T08:00:00,59
2021-06-24T10:00:00,56
2021-06-24T12:00:00,61
2021-06-24T14:00:00,52
2021-06-24T16:00:00,43
2021-06-24T18:00:00,44
2021-06-24T20:00:00,37
2021-06-24T22:00:00,34
2021-06-25T00:00:00,36
2021-06-25T02:00:00,51
2021-06-25T04:00:00,72
2021-06-25T06:00:00,64
2021-06-25T08:00:00,82
2021-06-25T10:00:00,80
2021-06-25T12:00:00,84
2021-06-25T14:00:00,101
2021-06-25T16:00:00,87
2021-06-25T18:00:00,88
2021-06-25T20:00:00,70
2021-06-25T22:00:00,55
2021-06-26T00:00:00,45
2021-06-26T02:00:00,49
2021-06-26T04:00:00,38
2021-06-26T06:00:00,35
2021-06-26T08:00:00,37
2021-06-26T10:00:00,36
2021-06-26T12:00:00,36
2021-06-26T14:00:00,42
2021-06-26T16:00:00,48
2021-06-26T18:00:00,61
2021-06-26T20:00:00,77
2021-06-26T22:00:00,74
2021-06-27T00:00:00,60
2021-06-27T02:00:00,60
2021-06-27T04:00:00,56
2021-06-27T06:00:00,59
2021-06-27T08:00:00,53
2021-06-27T10:00:00,48
2021-06-27T12:00:00,46
2021-06-27T14:00:00,65
2021-06-27T16:00:00,79
2021-06-27T18:00:00,77
2021-06-27T20:00:00,81
2021-06-27T22:00:00,72
2021-06-28T00:00:00,68
2021-06-28T02:00:00,83
2021-06-28T04:00:00,90
2021-06-28T06:00:00,72
2021-06-28T08:00:00,64
2021-06-28T10:00:00,58
2021-06-28T12:00:00,52
2021-06-28T14:00:00,60
2021-06-28T16:00:00,70
2021-06-28T18:00:00,62
