"year","month","value"
1986,7,19.95231927710843
1986,8,17.552957198443583
1986,9,15.474709418837667
1986,10,14.492994011976034
1986,11,11.247938149484538
1986,12,7.764374963541659
1987,1,3.4392263553008613
1987,2,2.6319005328596816
1987,3,3.6610810810810803
1987,4,9.528376034188026
1987,5,12.871675824175826
1987,6,16.689009661835748
1987,7,17.983488372093028
1987,8,17.672069510268557
1987,9,15.453750000000001
1987,10,13.235412087912104
1987,11,10.782776201133142
1987,12,6.400700719708023
1988,2,6.021958146487296
1988,3,7.510632930379748
1988,4,9.03605011543812
1988,5,12.970467675378256
1988,6,15.903013888888882
1988,7,17.75717185385657
1988,8,19.351001390820592
1988,9,17.465535211267593
1988,10,14.687775891341248
1988,11,10.459919988800005
1988,12,8.413865021472397
1989,1,7.495675303490141
1989,2,6.598511326860852
1989,3,8.42590346482759
1989,4,9.263612262203623
1989,5,13.332776978417272
1989,6,18.054930875576034
1989,7,20.426429548563604
1989,8,20.970943912448703
1989,9,19.528361445783144
1989,10,14.355240641711234
1989,11,11.445602296367118
1989,12,7.915847964912292
1990,1,6.736940215577187
1990,2,8.162859394568681
1990,3,8.514691358024693
1990,4,8.901052663157893
1990,5,14.188440748440755
1990,6,15.652395982783371
1990,7,16.318988095238087
1990,8,17.34002597402598
1990,9,16.06888636363636
1990,11,10.618492752173912
1990,12,7.88452558759124
1991,2,2.6244811320754713
1991,3,6.289778129952459
1991,4,8.064038149443551
1991,5,9.124332032442753
1991,6,10.739526888172033
1991,7,14.098480565371036
1991,8,16.027665706051852
1991,9,15.001109550561784
1991,10,12.718673267326743
1991,11,9.435116258914736
1991,12,6.831982570806099
1992,1,5.924438122332861
1992,2,4.510093023255812
1992,3,6.272863501483683
1992,4,9.618007101423492
1992,5,13.609373219373218
1992,6,14.916673819742499
1992,7,16.815297504798462
1992,8,17.337603305785102
1992,9,14.566285714285707
1992,10,12.053569706601468
1992,11,7.714975689320383
1992,12,6.365116279069768
1993,5,12.642312633832981
1993,6,16.210458452722058
1993,7,17.944272997032638
1993,8,17.95731060606059
1993,9,16.59
1993,11,9.962530913580249
1993,12,7.010882348039217
1994,1,6.508021478417269
1994,2,5.237295846938775
1994,4,9.3899998095238
1994,5,12.626347962382455
1994,6,15.034511999999996
1994,7,19.61934235976788
1994,8,20.15766830870278
1994,9,16.337169042769865
1994,10,13.280277324632959
1994,11,11.820070671378085
1995,4,9.066438975609756
1995,5,12.53901639344263
1995,6,14.802776699029122
1995,7,18.31241635687733
1995,8,20.851479099678446
1995,9,17.72875675675676
1995,10,15.204984709480115
1995,11,10.587066845265584
1995,12,5.461440064908734
1996,1,3.030662983425416
1996,2,1.186223880597014
1996,3,2.908904109589037
1996,4,7.486773320000003
1996,5,10.010963191316154
1996,6,15.100211480362502
1996,7,16.95714964370545
1996,8,18.72691629955946
1996,9,16.204603616133536
1996,10,13.510431266846354
1996,11,10.175041694986055
1996,12,5.696317153103452
1997,1,0.8559433962264148
1997,2,4.098258796610173
1997,3,7.591048256720425
1997,4,9.11520888022285
1997,5,11.43241691842901
1997,6,16.058491124260357
1997,7,17.838135922330114
1997,8,20.921097560975607
1997,9,18.319361111111114
1997,10,14.405829959514154
1997,11,9.856970413744735
1997,12,7.283210270491792
1998,1,7.007392329301073
1998,2,5.191324316964296
1998,3,7.52604826747312
1998,4,9.375055722841223
1998,5,12.895095846645354
1998,6,16.438569424964957
1998,7,17.73497311827956
1998,8,19.41260521042083
1998,9,16.59510638297872
1998,10,13.698919860627166
1998,11,9.304020219158184
1998,12,6.024054319727901
1999,1,7.09385901971831
1999,2,5.410161200460829
1999,3,7.235649712996398
1999,4,9.529436169090918
1999,5,14.179239130434793
1999,6,16.68791666666667
1999,7,18.944931192660547
1999,8,19.515436746987962
1999,9,18.517812499999987
1999,10,13.268082975679551
1999,11,11.48980392156863
2000,1,4.769454944537811
2000,2,5.8231213035935685
2000,3,7.005201098060615
2000,4,8.609085576218133
2000,5,12.499883880288246
2000,6,15.875659373113546
2000,7,16.941926348296725
2000,8,18.999385979277214
2000,9,17.52296372667541
2000,10,13.7125536648745
2000,11,9.773889132115256
2000,12,7.99141698324533
2001,1,4.601497129807719
2001,2,6.073937646737763
2001,3,6.09303575582959
2001,4,8.589206983712577
2001,5,12.04004752698412
2001,6,16.01599946996468
2001,7,18.58338875645337
2001,8,19.739726895314934
2001,9,16.713780864406758
2001,10,15.264545954802283
2001,11,11.132669328237258
2001,12,7.214411715695081
2002,1,4.899062298163072
2002,2,7.76159970067515
2002,3,7.950889227070137
2002,4,9.819675861581228
2002,5,12.614198262331808
2002,6,16.187759445089387
2002,7,17.56764873346783
2002,8,20.209870051685375
2002,9,18.328735918699195
2002,10,13.935348122759825
2002,11,11.027008594038339
2002,12,6.356531881110794
2003,1,4.763638495706258
2003,2,3.8801632193446194
2003,3,5.800546365388917
2003,4,8.636732382638877
2003,5,12.707730673973902
2003,6,17.58524199814775
2003,7,19.949698191632933
2003,8,21.30466238351257
2003,9,18.45588552318801
2003,10,13.175730372505027
2003,11,9.432077324854276
2003,12,6.949240364777057
2005,1,6.909342358983279
2005,2,4.325343762309606
2005,3,3.867716023793497
2005,4,7.766149759108848
2005,5,11.487795463108363
2005,6,15.41868379870133
2005,7,18.42738772319426
2005,8,17.999783696436666
2005,9,18.052444062065724
2005,10,14.90253578923666
2005,11,11.37347876199308
2005,12,6.221987827694397
2006,1,3.5804652732571154
2006,2,3.009804143849214
2006,3,3.3391513997311346
2006,4,7.725675922736199
2006,5,11.575355422566872
2006,6,13.871403140681005
2006,7,18.62738772319426
2006,8,18.099783696436666
2006,9,18.002444062065724
2006,10,14.951969823100928
2006,11,11.901060014120944
2006,12,9.462624898602993
2007,1,8.575346654611222
2007,2,7.278027611014638
2007,3,8.531023112552095
2007,4,10.840298817127954
2007,5,14.118602522935781
2007,6,17.159983283027643
2007,7,17.77028905371989
2007,8,18.91471685797879
2007,9,17.28910662957811
2007,10,14.258613228699554
2007,11,9.929760884668834
2007,12,7.079979009856613
2008,1,6.808935707885295
2008,2,6.467125215930909
2008,3,7.228946560609441
2008,4,8.539368312366474
2008,5,13.256896915927376
2008,6,16.667325231481428
2008,7,18.163764904386962
2008,8,18.744506385839124
2008,9,16.75693057812863
2008,10,13.430755266696616
2008,11,9.811768573429834
2008,12,5.774277431996306
2009,1,3.409051006104451
2009,2,3.1557403426017907
2009,3,5.863779541881885
2009,4,9.59861354045909
2009,5,13.490771268237943
2009,6,15.56402816901408
2010,3,6.039543269230772
2010,4,8.439708198727372
2010,5,11.345013458950216
2010,6,15.172270558258067
2010,7,19.67946267652988
2010,8,19.20620077132485
2010,9,16.866398885535126
2010,10,13.859715909090934
2010,11,10.377539031735003
2010,12,4.316769741282328
2011,1,4.26079417301657
2011,2,5.391581126901033
2011,3,5.887370291173804
2011,4,11.301567632850256
2011,5,14.51287362037877
2011,6,16.57029595288079
2011,7,18.299098309796054
2011,8,18.75713348382751
2011,9,17.292985646922197
2011,10,14.532639638694667
2011,11,11.244533496522962
2011,12,7.995137416105898
2012,1,6.924575142728911
2012,2,3.088990215917292
2012,3,5.8520020608715155
2012,4,8.7921816997685
2012,5,12.101574816980282
2012,6,15.75417656068694
2012,7,17.892905756556814
2012,8,19.50406945964129
2012,9,17.582607175625576
2012,10,13.51283332212505
2012,11,9.881950505211961
2012,12,7.1152776697288616
2013,1,6.103925234740723
2013,2,4.237587907871872
2013,3,3.4465233406320537
2013,4,5.796316424698792
2013,5,10.79825267256837
2013,6,13.81922461592504
2013,7,18.08896224014333
2013,8,20.094569540747397
2013,9,17.76776416743973
2013,10,14.613352213757556
2013,11,10.7660024196759
2013,12,7.846609723566322
2014,1,7.649700739062161
2014,2,7.321138507785025
2014,3,8.13500585256555
2014,4,11.114012940284608
2014,5,13.871426025554825
2014,6,17.560441928240678
2014,7,19.601852226702512
2014,8,19.21317373879922
2014,9,18.135202523148124
2014,10,15.71884194749832
2014,11,11.933918362899492
2014,12,8.139787756944425
2015,1,6.583125462141578
2015,2,4.967530699031543
2015,3,6.472347691618102
2015,4,9.224963018990291
2015,5,13.068354228097668
2015,6,16.011870175925903
2015,7,19.126030575842705
2015,10,12.542666151515148
2015,11,12.097349642110421
2016,4,9.324963018990291
2016,5,13.620100928364907
2016,6,16.118184196759266
2016,7,18.908569193186892
2016,8,19.643139475689075
2016,9,20.111910275718305
2016,10,14.838112927867368
2016,11,10.503291079166665
2016,12,7.074153665886629
2017,1,4.874467689344441
2017,2,4.259470064252348
2017,3,8.584342651300219
2017,4,10.665138670912446
2017,5,13.373522910112388
2017,6,18.285391585648146
2017,7,19.92891217293912
2017,8,19.413055481630828
2017,9,17.51797253009264
2017,10,14.980896081989247
2017,11,10.950667910627432
2017,12,6.7243820565149095
2018,1,6.731787659421926
2018,2,5.1328532826302675
2018,3,3.3584236874299886
2018,4,8.52507284791665
2018,5,13.368297400762534
2018,6,17.024423165817506
2018,7,20.383852135813537
2018,8,21.023751113850327
2018,9,18.0806133936022
2018,10,15.262653037634406
2018,11,10.085145953692987
2018,12,8.217345422939083
2019,1,6.227016129032261
2019,2,5.595230998509745
2019,3,8.38051075268819
2019,4,10.486319444444469
2019,5,13.302553763440859
2019,6,17.478541666666665
2019,7,20.214784946236506
2019,8,20.112836021505363
2019,9,18.146527777777795
2019,10,14.653024193548324
2019,11,10.086439499304605
2019,12,7.641330645161269
2020,1,7.128965053763435
2020,2,7.866139468008608
2020,3,7.938306451612925
2020,4,10.079513888888881
2020,5,13.502956989247307
2020,6,17.3897632311978
2020,7,18.656518817204326
2020,8,20.839946200403535
2020,9,18.174722222222275
2020,10,13.868548387096716
2020,11,11.578958333333361
2020,12,8.335080645161327
2021,1,6.058400537634448
2021,2,4.267187500000013
2021,3,6.58216689098252
2021,4,8.37923611111113
2021,5,11.922379032258029
2021,6,17.320378151260453
2021,7,18.602192982456145
2021,8,19.08922764227642
2021,9,18.798541666666626
2021,10,14.629502688172222
2021,11,11.186527777777753
2021,12,7.591330645161263
2022,1,8.044623655914005
2022,2,7.41453055141575
2022,3,8.04358974358979
2022,4,9.617847222222228
2022,5,13.477016129032316
2022,6,17.098819444444494
2022,7,19.919422043010766
2022,8,21.471706989247117
2022,9,19.869305555555698
2022,10,16.023319892473094
2022,11,14.245972222222289
2022,12,8.9848016139879
2023,1,8.21989247311822
2023,2,6.824479166666687
2023,3,7.376260928043073
2023,4,9.955972222222325
2023,5,12.378973509933783
