"value"
53.978
42.34317
31.0898
18.31056
7.057195
190.3535
178.9094
167.8468
156.212
144.3864
133.3238
123.0241
112.1522
102.9969
92.31574
84.68634
76.10326
70.19048
65.23137
61.0352
58.93711
57.79271
59.31858
60.27226
63.51476
67.90166
72.09783
79.34576
85.44928
91.17133
97.27485
104.9043
111.9614
117.6835
125.3129
132.5608
140.381
148.2011
155.8305
165.1765
174.3318
185.2037
1.335145
14.11439
27.84731
41.9617
57.41124
74.19592
91.36206
109.2912
126.0758
142.479
157.1656
169.7542
180.0538
186.5388
191.6887
0.38147
2.479555
0.953675
0.572205
192.4516
188.8277
183.8685
178.528
171.8522
164.795
156.5934
149.3455
139.9995
130.8442
120.7353
110.4356
98.22852
86.02148
74.19592
61.6074
48.82816
35.28598
21.55305
8.773809
191.4979
179.6724
164.6043
151.2529
139.9995
127.2203
116.7298
104.332
94.98603
84.68634
76.48473
69.80901
62.56108
58.55564
54.55021
51.49845
51.30771
49.78183
50.54477
52.07066
57.41124
59.70005
67.13872
70.57195
77.05694
85.64001
89.83618
98.41926
105.8579
113.678
119.4001
128.5554
136.757
143.4327
151.6343
161.934
172.6152
184.6315
193.596
11.63484
27.2751
42.91537
60.65373
77.24767
93.65089
111.58
129.1276
142.6698
155.8305
164.4136
172.9966
175.6669
176.6206
179.4816
182.1519
179.6724
176.2391
171.6615
168.0375
162.3155
158.6915
149.1548
141.1439
131.9886
123.4055
111.9614
102.6154
88.3103
79.53649
66.37578
53.21507
41.3895
27.2751
15.44953
1.14441
181.9612
169.1819
158.5008
146.103
131.6071
118.8279
107.7653
94.60456
85.83075
75.91253
66.56651
58.55564
52.64286
46.92081
40.24508
38.90994
38.147
37.19333
37.57479
41.58023
43.67831
48.82816
55.69462
61.41667
68.09239
74.95885
82.77899
90.02692
100.1359
106.0487
114.2503
120.926
129.8905
138.8551
148.7733
158.1193
167.4653
179.4816
189.7813
10.10895
27.84731
45.20419
63.32402
82.96973
103.7598
121.1167
139.8087
154.4953
166.3209
174.1411
180.4353
185.013
186.3481
189.9721
190.1628
187.111
183.4871
178.3372
174.7133
168.9912
159.8359
152.2065
144.3864
132.5608
125.3129
112.1522
101.0895
88.11957
74.95885
61.79814
48.44669
33.95083
21.17159
7.438665
187.4925
173.9503
159.073
146.6752
131.7979
118.8279
106.8116
94.22309
81.82532
71.71636
61.6074
52.45213
44.82272
37.95626
30.70833
28.22878
26.51217
27.46584
26.1307
27.65657
32.80642
37.38406
43.10611
50.92624
56.64829
65.61284
71.52563
78.77355
85.06781
92.125
100.7081
106.6209
113.8688
121.1167
130.8442
138.6643
148.964
160.0267
171.0893
184.4407
2.479555
18.88276
36.62112
54.93168
73.24224
96.51191
113.2966
134.2774
148.5826
161.7433
168.419
175.6669
177.9557
182.9149
183.8685
182.9149
180.0538
175.0947
170.7078
164.9858
157.7378
150.8714
141.7161
133.896
124.1685
114.6317
102.0432
90.40839
77.62914
64.27769
52.26139
37.19333
22.31599
8.773809
189.5906
175.4762
161.3618
148.2011
134.8496
120.5445
106.8116
94.7953
80.87164
69.61827
57.79271
45.7764
37.57479
27.84731
20.21791
14.11439
9.91822
5.72205
4.19617
3.05176
4.95911
6.10352
11.63484
18.11983
25.93996
32.04348
39.10067
48.25595
55.69462
62.94255
71.33489
78.77355
86.97516
95.3675
105.095
115.0132
124.7407
135.8033
149.3455
162.8877
179.1002
3.8147
22.31599
46.53934
68.6646
95.9397
117.4928
138.8551
154.4953
166.3209
176.2391
184.4407
188.8277
191.4979
192.0701
192.4516
191.1165
186.5388
176.2391
169.9449
164.0321
156.0212
146.2937
135.994
125.8851
114.2503
101.8525
88.69177
75.34032
62.37034
46.92081
33.56936
19.26423
4.95911
185.7759
171.28
157.3564
142.2883
127.9832
114.6317
101.2803
86.97516
75.34032
63.13329
53.21507
41.9617
33.37862
26.89363
20.79012
16.40321
14.49586
12.77924
14.11439
15.2588
20.21791
25.74922
32.61568
38.33773
45.20419
52.45213
58.74638
66.56651
73.24224
80.6809
87.92883
95.74897
102.9969
111.1985
119.7816
129.1276
139.2365
150.1084
161.7433
175.6669
191.1165
12.39777
32.42495
53.78727
76.67547
99.1822
120.163
140.381
156.212
166.7024
174.3318
180.0538
182.3427
182.7241
183.4871
180.4353
176.4299
171.6615
164.6043
158.31
150.8714
142.6698
132.7516
124.1685
114.0595
103.5691
91.5528
79.15502
66.37578
53.02433
38.33773
24.41408
10.87189
191.6887
176.8113
163.4599
149.9177
134.8496
120.926
107.1931
92.31574
79.91796
66.56651
53.978
42.34317
30.5176
20.79012
11.4441
3.8147
192.0701
186.9203
182.1519
179.6724
180.0538
181.7704
185.5852
190.5443
0.572205
8.01087
15.83101
22.8882
28.80099
39.10067
46.92081
55.12241
72.09783
81.44385
91.36206
102.6154
114.8225
127.0295
142.0976
158.8822
178.1465
4.386905
29.37319
55.50388
82.77899
107.956
129.6998
147.2474
160.5989
171.0893
178.528
183.1056
186.7296
189.2091
188.2554
185.7759
182.1519
176.8113
170.7078
164.4136
156.7842
148.7733
139.9995
130.4627
119.2094
107.956
95.9397
83.16046
70.38121
56.26682
42.72464
28.99172
13.16072
0.190735
180.8168
166.5117
153.1602
138.4736
123.4055
109.8634
96.13044
82.77899
69.04607
56.45756
45.01346
33.18789
23.26967
6.675725
1.335145
192.4516
191.4979
192.6423
1.335145
6.10352
12.20704
18.5013
25.74922
31.66201
38.7192
45.7764
51.11698
58.17418
65.23137
72.09783
79.15502
89.26398
96.51191
106.0487
116.3484
128.1739
139.9995
154.8768
172.4244
189.7813
15.83101
38.7192
64.27769
88.88251
113.1059
132.1794
146.103
157.9286
