datum,value
2021-01-01T00:15:00,344.49
2021-01-01T00:35:00,392.34
2021-01-01T00:55:00,423.91
2021-01-01T01:15:00,440.76
2021-01-01T01:35:00,452.51
2021-01-01T01:55:00,446.39
2021-01-01T02:15:00,437.66
2021-01-01T02:35:00,427.94
2021-01-01T02:55:00,413.37
2021-01-01T03:15:00,395.04
2021-01-01T03:35:00,373.22
2021-01-01T03:55:00,351.76
2021-01-01T04:15:00,324.5
2021-01-01T04:35:00,294.58
2021-01-01T04:55:00,263.88
2021-01-01T05:15:00,231.83
2021-01-01T05:35:00,197.44
2021-01-01T05:55:00,171.18
2021-01-01T06:15:00,136.07
2021-01-01T06:35:00,112.54
2021-01-01T06:55:00,86.6
2021-01-01T07:15:00,68.2
2021-01-01T07:35:00,52.98
2021-01-01T07:55:00,48.08
2021-01-01T08:15:00,48.27
2021-01-01T08:35:00,57.47
2021-01-01T08:55:00,73.38
2021-01-01T09:15:00,92.71
2021-01-01T09:35:00,108.43
2021-01-01T09:55:00,122.02
2021-01-01T10:15:00,134.59
2021-01-01T10:35:00,151.77
2021-01-01T10:55:00,172.69
2021-01-01T11:15:00,194.61
2021-01-01T11:35:00,224.75
2021-01-01T11:55:00,261.32
2021-01-01T12:15:00,308.51
2021-01-01T12:35:00,360.46
2021-01-01T12:55:00,408.39
2021-01-01T13:15:00,435.08
2021-01-01T13:35:00,453.58
2021-01-01T13:55:00,462.35
2021-01-01T14:15:00,455.96
2021-01-01T14:35:00,444.84
2021-01-01T14:55:00,435.84
2021-01-01T15:15:00,420.81
2021-01-01T15:35:00,403.67
2021-01-01T15:55:00,380.88
2021-01-01T16:15:00,357.06
2021-01-01T16:35:00,328.66
2021-01-01T16:55:00,302.21
2021-01-01T17:15:00,267.1
2021-01-01T17:35:00,240.28
2021-01-01T17:55:00,204.29
2021-01-01T18:15:00,178.19
2021-01-01T18:35:00,147.42
2021-01-01T18:55:00,123.01
2021-01-01T19:15:00,102.69
2021-01-01T19:35:00,81.75
2021-01-01T19:55:00,72.72
2021-01-01T20:15:00,68.85
2021-01-01T20:35:00,74.19
2021-01-01T20:55:00,86.05
2021-01-01T21:15:00,106.97
2021-01-01T21:35:00,118.94
2021-01-01T21:55:00,131.71
2021-01-01T22:15:00,141.41
2021-01-01T22:35:00,157.49
2021-01-01T22:55:00,172.95
2021-01-01T23:15:00,187.22
2021-01-01T23:35:00,204.5
2021-01-01T23:55:00,228.34
2021-01-02T00:15:00,259.16
2021-01-02T00:35:00,300.14
2021-01-02T00:55:00,349.39
2021-01-02T01:15:00,394.18
2021-01-02T01:35:00,424.3
2021-01-02T01:55:00,441.03
2021-01-02T02:15:00,446.15
2021-01-02T02:35:00,442.29
2021-01-02T02:55:00,433.66
2021-01-02T03:15:00,421.24
2021-01-02T03:35:00,407.76
2021-01-02T03:55:00,389.39
2021-01-02T04:15:00,369.42
2021-01-02T04:35:00,345.46
2021-01-02T04:55:00,314.17
2021-01-02T05:15:00,288.71
2021-01-02T05:35:00,255.99
2021-01-02T05:55:00,225.02
2021-01-02T06:15:00,190.36
2021-01-02T06:35:00,162.4
2021-01-02T06:55:00,130
2021-01-02T07:15:00,104.78
2021-01-02T07:35:00,79.45
2021-01-02T07:55:00,60.32
2021-01-02T08:15:00,48.49
2021-01-02T08:35:00,38.95
2021-01-02T08:55:00,42.32
2021-01-02T09:15:00,50.42
2021-01-02T09:35:00,66.65
2021-01-02T09:55:00,82.46
2021-01-02T10:15:00,100.6
2021-01-02T10:35:00,113.32
2021-01-02T10:55:00,127.91
2021-01-02T11:15:00,143.48
2021-01-02T11:35:00,165.76
2021-01-02T11:55:00,186.01
2021-01-02T12:15:00,215.99
2021-01-02T12:35:00,252.89
2021-01-02T12:55:00,302.66
2021-01-02T13:15:00,355.07
2021-01-02T13:35:00,399.77
2021-01-02T13:55:00,427.69
2021-01-02T14:15:00,441.91
2021-01-02T14:35:00,450.22
2021-01-02T14:55:00,444.54
2021-01-02T15:15:00,435.96
2021-01-02T15:35:00,426.73
2021-01-02T15:55:00,413.47
2021-01-02T16:15:00,394.32
2021-01-02T16:35:00,372.47
2021-01-02T16:55:00,349.79
2021-01-02T17:15:00,320.92
2021-01-02T17:35:00,290.98
2021-01-02T17:55:00,259.62
2021-01-02T18:15:00,227.45
2021-01-02T18:35:00,196.46
2021-01-02T18:55:00,165.41
2021-01-02T19:15:00,135.48
2021-01-02T19:35:00,111.08
2021-01-02T19:55:00,87.2
2021-01-02T20:15:00,72.56
2021-01-02T20:35:00,64.11
2021-01-02T20:55:00,62.09
2021-01-02T21:15:00,68.02
2021-01-02T21:35:00,80.67
2021-01-02T21:55:00,99.42
2021-01-02T22:15:00,112.16
2021-01-02T22:35:00,125.18
2021-01-02T22:55:00,133.94
2021-01-02T23:15:00,148.05
2021-01-02T23:35:00,163.99
2021-01-02T23:55:00,179.55
2021-01-03T00:15:00,195.51
2021-01-03T00:35:00,222.09
2021-01-03T00:55:00,248.31
2021-01-03T01:15:00,289.65
2021-01-03T01:35:00,333.76
2021-01-03T01:55:00,376.59
2021-01-03T02:15:00,413.17
2021-01-03T02:35:00,429.1
2021-01-03T02:55:00,434.16
2021-01-03T03:15:00,432.47
2021-01-03T03:35:00,420.78
2021-01-03T03:55:00,410.43
2021-01-03T04:15:00,393.64
2021-01-03T04:35:00,373.43
2021-01-03T04:55:00,354.27
2021-01-03T05:15:00,329.88
2021-01-03T05:35:00,303.78
2021-01-03T05:55:00,272.36
2021-01-03T06:15:00,242.45
2021-01-03T06:35:00,210.72
2021-01-03T06:55:00,176.1
2021-01-03T07:15:00,148.01
2021-01-03T07:35:00,115.1
2021-01-03T07:55:00,90.84
2021-01-03T08:15:00,66.64
2021-01-03T08:35:00,50.11
2021-01-03T08:55:00,31.55
2021-01-03T09:15:00,25.06
2021-01-03T09:35:00,24.2
2021-01-03T09:55:00,32.87
2021-01-03T10:15:00,49.82
2021-01-03T10:35:00,66.26
2021-01-03T10:55:00,81.24
2021-01-03T11:15:00,94.23
2021-01-03T11:35:00,112.13
2021-01-03T11:55:00,127.42
2021-01-03T12:15:00,146.75
2021-01-03T12:35:00,171.11
2021-01-03T12:55:00,195.84
2021-01-03T13:15:00,232.43
2021-01-03T13:35:00,277.79
2021-01-03T13:55:00,328.25
2021-01-03T14:15:00,370.91
2021-01-03T14:35:00,403.49
2021-01-03T14:55:00,419.93
2021-01-03T15:15:00,427.9
2021-01-03T15:35:00,424.09
2021-01-03T15:55:00,416.39
2021-01-03T16:15:00,404.1
2021-01-03T16:35:00,390.02
2021-01-03T16:55:00,371.01
2021-01-03T17:15:00,352.43
2021-01-03T17:35:00,328.24
2021-01-03T17:55:00,301.43
2021-01-03T18:15:00,273.06
2021-01-03T18:35:00,244.2
2021-01-03T18:55:00,215.37
2021-01-03T19:15:00,181.29
2021-01-03T19:35:00,155.42
2021-01-03T19:55:00,125.14
2021-01-03T20:15:00,103.79
2021-01-03T20:35:00,77.78
2021-01-03T20:55:00,68.6
2021-01-03T21:15:00,58.72
2021-01-03T21:35:00,56.18
2021-01-03T21:55:00,63.01
2021-01-03T22:15:00,71.53
2021-01-03T22:35:00,85.27
2021-01-03T22:55:00,102.11
2021-01-03T23:15:00,112.43
2021-01-03T23:35:00,124.64
2021-01-03T23:55:00,134.31
2021-01-04T00:15:00,150.46
2021-01-04T00:35:00,167.64
2021-01-04T00:55:00,183.37
2021-01-04T01:15:00,202.37
2021-01-04T01:35:00,230.01
2021-01-04T01:55:00,264.1
2021-01-04T02:15:00,305.64
2021-01-04T02:35:00,351.71
2021-01-04T02:55:00,383.02
2021-01-04T03:15:00,406.01
2021-01-04T03:35:00,413.61
2021-01-04T03:55:00,414.66
2021-01-04T04:15:00,403.69
2021-01-04T04:35:00,391.26
2021-01-04T04:55:00,374.93
2021-01-04T05:15:00,358.63
2021-01-04T05:35:00,342.37
2021-01-04T05:55:00,315.27
2021-01-04T06:15:00,290.34
2021-01-04T06:35:00,261.93
2021-01-04T06:55:00,231.5
2021-01-04T07:15:00,199.62
2021-01-04T07:35:00,169.2
2021-01-04T07:55:00,136.26
2021-01-04T08:15:00,112.68
2021-01-04T08:35:00,84.32
2021-01-04T08:55:00,64.36
2021-01-04T09:15:00,46.4
2021-01-04T09:35:00,29.68
2021-01-04T09:55:00,21.36
2021-01-04T10:15:00,20.79
2021-01-04T10:35:00,23.71
2021-01-04T10:55:00,40.54
2021-01-04T11:15:00,55.49
2021-01-04T11:35:00,73.39
2021-01-04T11:55:00,89.89
2021-01-04T12:15:00,110.53
2021-01-04T12:35:00,125.89
2021-01-04T12:55:00,143.28
2021-01-04T13:15:00,168.83
2021-01-04T13:35:00,192.23
2021-01-04T13:55:00,228.18
2021-01-04T14:15:00,265.77
2021-01-04T14:35:00,315.56
2021-01-04T14:55:00,361.85
2021-01-04T15:15:00,394.69
2021-01-04T15:35:00,414.36
2021-01-04T15:55:00,421.27
