"year","month","value"
1986,5,67.22288983766236
1986,6,63.30062821989531
1986,7,47.64738159504125
1986,8,21.417186103896096
1986,9,18.37604863221883
1986,10,19.02102272727274
1986,11,18.035614035087704
1986,12,17.20584814216477
1987,1,20.984951460194136
1987,2,35.50575488454706
1987,3,45.35967748847916
1987,4,28.93465711857145
1987,5,26.738948824342977
1987,6,28.966255506607933
1987,7,31.987711171662124
1987,8,31.671428571428585
1987,9,32
1987,10,32
1987,11,32
1987,12,32
1988,2,31.862275449101798
1988,3,31.81230769230769
1988,4,31.367176634214186
1988,5,31
1988,6,31
1988,7,31
1988,8,30.29145631067962
1988,9,30.600533707865175
1988,10,30.844120603015135
1988,11,29.6288235294118
1988,12,29.70394171779137
1989,1,28.571487730061346
1989,2,30.647804878048778
1989,3,31.35214088397788
1989,4,30.774148044692744
1989,5,30.110957142857178
1989,6,28.787263922518193
1989,7,28.02483146067418
1989,8,28.836648275862142
1989,9,28.832464589235133
1989,10,31.843180515759293
1989,11,33.55157389635318
1989,12,32.99848617176129
1990,1,33.10660614525138
1990,2,32.51585227272727
1990,3,23.645714428571416
1990,4,25.30458033573138
1990,5,21.515688073394493
1990,6,31.159999999999993
1990,7,31.364732360097303
1990,8,31.461452027397247
1990,9,33.03022727272731
1990,11,33.656932515337466
1990,12,32.24206030150756
1991,1,25.34678571428571
1991,2,31
1991,3,15.810810270270272
1991,4,33.87946938775508
1991,5,33.57533206831118
1991,6,33.89363376251786
1991,7,30.3423445369284
1991,8,33.50994755244753
1991,9,30.685709459459446
1991,10,33.28633333333332
1991,11,34.08715517241381
1991,12,34.594624145785886
1992,1,32.57153733528546
1992,3,32.67908296943227
1992,4,30.94606461086637
1992,5,31.96297111416781
1992,6,33.36633823529411
1992,7,29.22917695473256
1992,8,28.15297546012269
1992,9,31.864712328767094
1992,10,29.436982968369854
1992,11,32.10098214285715
1992,12,33.05651898734176
1993,5,28.697142857142854
1993,7,23.22769166666666
1993,12,33.6071052631579
1994,1,31.941599534883725
1994,4,32.924256092384574
1994,5,31.52051848979598
1994,6,30.573600439077918
1994,7,31.613713471444587
1994,8,30.01475398936172
1994,9,29.39812211878012
1994,10,27.78627572046107
1994,11,27.58925775303646
1994,12,25.79069176006312
1995,1,26.156091273841966
1995,2,25.772741524852563
1995,3,31.142148437499927
1995,4,29.936300835654635
1995,5,29.667733217088088
1995,6,31.05475267720553
1995,7,30.81454285714292
1995,8,28.28332560834298
1995,9,30.702535070063682
1995,10,32.875601404741026
1995,11,33.076910112359634
1995,12,33.579083969465664
1996,1,33.95446138211387
1996,2,33.96067226890765
1996,3,33.46483835005582
1996,4,32.07123645898225
1996,5,30.4412672249752
1996,6,31.732121451104167
1996,7,32.27580188679265
1996,8,32.30831535269712
1996,9,32.70001981178782
1996,10,32.85149706979201
1996,11,32.99695444915257
1996,12,32.71574603174592
1997,1,32.80421749408982
1997,2,33.71891545997593
1997,3,33.5857658959537
1997,4,32.20985446284904
1997,5,31.322138145454574
1997,6,31.50628703389832
1997,7,31.809630021141622
1997,8,31.80121473657025
1997,9,32.2308663997215
1997,10,31.270842214022053
1997,11,33.52982838046263
1997,12,32.75606249625557
1998,1,32.83076728636357
1998,2,31.92850764278302
1998,3,32.997693414076586
1998,4,32.81595614482411
1998,5,32.77853356583076
1998,6,32.58359245283012
1998,7,32.456158989598755
1998,8,32.66367826905001
1998,9,32.45713909604516
1998,10,35.233312758037215
1998,11,35.911411399894355
1998,12,29.145213860667656
1999,3,30.415235341365488
1999,4,31.09447889705885
1999,5,34.25510882175226
1999,6,32.658567776381915
1999,7,31.922803960625398
1999,8,29.87075176675371
1999,9,28.595445027124786
1999,10,29.863660090771585
1999,11,35.32154253203172
1999,12,34.88655250144429
2000,2,26.399876296452295
2000,3,29.07527575980139
2000,4,30.403320811055764
2000,5,36.90912305063288
2000,11,31.879377554613622
2001,11,48.22233455734288
2001,12,41.54017199179655
2002,1,32.45663720927622
2002,2,34.10065293073269
2002,3,33.00637026512117
2002,4,32.39323550214301
2002,5,32.58566501065151
2002,6,34.00691733145508
2002,7,34.26668487784088
2002,8,33.5094646741902
2002,9,33.62825613048525
2002,10,33.80349828080911
2002,11,34.22009107886859
2002,12,33.5749883398336
2003,1,33.8129983330574
2003,2,32.67712643967543
2003,3,32.89433430478098
2003,4,32.21866602122574
2003,5,33.83019821607393
2003,6,33.674673903273494
2003,7,33.08765291884948
2003,8,33.46094166218425
2003,9,33.66107797507976
2003,10,33.21028913873937
2003,11,34.312468619374975
2003,12,33.77390647728962
2004,1,34.27859102897251
2004,2,30.532695438232572
2004,3,34.58522663615971
2004,4,34.84946588425924
2004,5,33.468106278366925
2004,6,33.08441554201479
2004,7,34.63310591182546
2004,8,33.92009608431657
2004,9,34.08503384115193
2004,10,34.17555583744967
2004,11,1958.2955031495549
2004,12,31.229087609575668
2005,1,32.05152960394278
2005,2,32.64622153284675
2005,3,31.799387983860203
2005,4,32.246091883819744
2005,5,31.843672894815413
2005,6,31.84112564136803
2005,7,31.79425524958906
2005,8,52.8870497639819
2005,9,31.793660676084567
2005,10,32.293211758155785
2005,11,32.98565757199096
2005,12,32.86142812171441
2006,1,32.59012550268879
2006,2,32.04885597387559
2006,3,31.95908475994006
2006,4,31.805228400278352
2006,5,32.61008082623968
2006,6,32.16635788980892
2006,7,31.781869715920916
2006,8,32.560250895466396
2006,9,33.16280775769803
2006,10,33.73068708423766
2006,11,33.33218960926803
2006,12,33.33021735872851
2007,1,34.02878801450932
2007,2,34.19343419568816
2007,3,34.19217314431779
