datum,value
2021-01-01T00:15:00,342.41
2021-01-01T00:35:00,391.63
2021-01-01T00:55:00,424.09
2021-01-01T01:15:00,442.37
2021-01-01T01:35:00,452.16
2021-01-01T01:55:00,448.35
2021-01-01T02:15:00,438.39
2021-01-01T02:35:00,428.04
2021-01-01T02:55:00,411.87
2021-01-01T03:15:00,394.21
2021-01-01T03:35:00,374.9
2021-01-01T03:55:00,350.57
2021-01-01T04:15:00,324.35
2021-01-01T04:35:00,294.89
2021-01-01T04:55:00,264.97
2021-01-01T05:15:00,231.39
2021-01-01T05:35:00,198.35
2021-01-01T05:55:00,169.81
2021-01-01T06:15:00,136.83
2021-01-01T06:35:00,111.2
2021-01-01T06:55:00,87.09
2021-01-01T07:15:00,67.47
2021-01-01T07:35:00,52.13
2021-01-01T07:55:00,46.26
2021-01-01T08:15:00,46.47
2021-01-01T08:35:00,56.58
2021-01-01T08:55:00,73.41
2021-01-01T09:15:00,93.6
2021-01-01T09:35:00,106.33
2021-01-01T09:55:00,120.85
2021-01-01T10:15:00,135.2
2021-01-01T10:35:00,152.05
2021-01-01T10:55:00,171.23
2021-01-01T11:15:00,195.17
2021-01-01T11:35:00,223.13
2021-01-01T11:55:00,261.77
2021-01-01T12:15:00,309.22
2021-01-01T12:35:00,360.15
2021-01-01T12:55:00,407.1
2021-01-01T13:15:00,435.4
2021-01-01T13:35:00,452.92
2021-01-01T13:55:00,NaN
2021-01-01T14:15:00,454.42
2021-01-01T14:35:00,447.06
2021-01-01T14:55:00,436.62
2021-01-01T15:15:00,420.97
2021-01-01T15:35:00,402.49
2021-01-01T15:55:00,381.82
2021-01-01T16:15:00,357.18
2021-01-01T16:35:00,329.38
2021-01-01T16:55:00,301.77
2021-01-01T17:15:00,268.98
2021-01-01T17:35:00,239.56
2021-01-01T17:55:00,205.43
2021-01-01T18:15:00,177.48
2021-01-01T18:35:00,147.69
2021-01-01T18:55:00,122.05
2021-01-01T19:15:00,100.36
2021-01-01T19:35:00,82.06
2021-01-01T19:55:00,72.88
2021-01-01T20:15:00,68.33
2021-01-01T20:35:00,74.38
2021-01-01T20:55:00,86.47
2021-01-01T21:15:00,104.81
2021-01-01T21:35:00,118.35
2021-01-01T21:55:00,131.84
2021-01-01T22:15:00,141.93
2021-01-01T22:35:00,156.49
2021-01-01T22:55:00,171.53
2021-01-01T23:15:00,187.08
2021-01-01T23:35:00,205.56
2021-01-01T23:55:00,227.69
2021-01-02T00:15:00,259.48
2021-01-02T00:35:00,299.82
2021-01-02T00:55:00,347.76
2021-01-02T01:15:00,393.22
2021-01-02T01:35:00,424.67
2021-01-02T01:55:00,442.83
2021-01-02T02:15:00,448.21
2021-01-02T02:35:00,444.51
2021-01-02T02:55:00,433.8
2021-01-02T03:15:00,421.33
2021-01-02T03:35:00,406.6
2021-01-02T03:55:00,388.68
2021-01-02T04:15:00,369.19
2021-01-02T04:35:00,343.44
2021-01-02T04:55:00,315.73
2021-01-02T05:15:00,287.86
2021-01-02T05:35:00,256.44
2021-01-02T05:55:00,223.55
2021-01-02T06:15:00,190.46
2021-01-02T06:35:00,160.45
2021-01-02T06:55:00,129.83
2021-01-02T07:15:00,102.6
2021-01-02T07:35:00,79.62
2021-01-02T07:55:00,59.08
2021-01-02T08:15:00,46.73
2021-01-02T08:35:00,37.32
2021-01-02T08:55:00,40
2021-01-02T09:15:00,49.07
2021-01-02T09:35:00,65.51
2021-01-02T09:55:00,82.54
2021-01-02T10:15:00,98.45
2021-01-02T10:35:00,112.09
2021-01-02T10:55:00,127.22
2021-01-02T11:15:00,143.78
2021-01-02T11:35:00,164.05
2021-01-02T11:55:00,185.56
2021-01-02T12:15:00,214.71
2021-01-02T12:35:00,253.14
2021-01-02T12:55:00,302.29
2021-01-02T13:15:00,NaN
2021-01-02T13:35:00,398.31
2021-01-02T13:55:00,427.69
2021-01-02T14:15:00,443.71
2021-01-02T14:35:00,450.84
2021-01-02T14:55:00,446.67
2021-01-02T15:15:00,436.43
2021-01-02T15:35:00,426.95
2021-01-02T15:55:00,411.95
2021-01-02T16:15:00,393.66
2021-01-02T16:35:00,373.69
2021-01-02T16:55:00,348.19
2021-01-02T17:15:00,321.05
2021-01-02T17:35:00,290.95
2021-01-02T17:55:00,260.02
2021-01-02T18:15:00,226.67
2021-01-02T18:35:00,197.2
2021-01-02T18:55:00,163.71
2021-01-02T19:15:00,136.22
2021-01-02T19:35:00,109.47
2021-01-02T19:55:00,87.74
2021-01-02T20:15:00,72.59
2021-01-02T20:35:00,62.47
2021-01-02T20:55:00,60.3
2021-01-02T21:15:00,67.11
2021-01-02T21:35:00,80.69
2021-01-02T21:55:00,97.64
2021-01-02T22:15:00,110.55
2021-01-02T22:35:00,124.12
2021-01-02T22:55:00,134.33
2021-01-02T23:15:00,148.14
2021-01-02T23:35:00,161.96
2021-01-02T23:55:00,178.76
2021-01-03T00:15:00,196.15
2021-01-03T00:35:00,219.67
2021-01-03T00:55:00,248.6
2021-01-03T01:15:00,288.86
2021-01-03T01:35:00,333.65
2021-01-03T01:55:00,377.8
2021-01-03T02:15:00,411.61
2021-01-03T02:35:00,429
2021-01-03T02:55:00,434.26
2021-01-03T03:15:00,432.23
2021-01-03T03:35:00,420.77
2021-01-03T03:55:00,408.99
2021-01-03T04:15:00,392.96
2021-01-03T04:35:00,375.2
2021-01-03T04:55:00,354.01
2021-01-03T05:15:00,330.86
2021-01-03T05:35:00,303.3
2021-01-03T05:55:00,273.35
2021-01-03T06:15:00,241.87
2021-01-03T06:35:00,210.9
2021-01-03T06:55:00,175.15
2021-01-03T07:15:00,148.12
2021-01-03T07:35:00,114.23
2021-01-03T07:55:00,91.72
2021-01-03T08:15:00,65.45
2021-01-03T08:35:00,48.71
2021-01-03T08:55:00,32.28
2021-01-03T09:15:00,25.54
2021-01-03T09:35:00,24.52
2021-01-03T09:55:00,33.33
2021-01-03T10:15:00,48.14
2021-01-03T10:35:00,64.98
2021-01-03T10:55:00,81.29
2021-01-03T11:15:00,94.79
2021-01-03T11:35:00,110.56
2021-01-03T11:55:00,NaN
2021-01-03T12:15:00,146.91
2021-01-03T12:35:00,169.39
2021-01-03T12:55:00,196.42
2021-01-03T13:15:00,231.55
2021-01-03T13:35:00,276.83
2021-01-03T13:55:00,328.73
2021-01-03T14:15:00,371.42
2021-01-03T14:35:00,402.11
2021-01-03T14:55:00,419.76
2021-01-03T15:15:00,427.84
2021-01-03T15:35:00,424.35
2021-01-03T15:55:00,415.39
2021-01-03T16:15:00,402.79
2021-01-03T16:35:00,389.05
2021-01-03T16:55:00,371.18
2021-01-03T17:15:00,351.29
2021-01-03T17:35:00,328.42
2021-01-03T17:55:00,300.7
2021-01-03T18:15:00,273.52
2021-01-03T18:35:00,243.85
2021-01-03T18:55:00,214.14
2021-01-03T19:15:00,180.57
2021-01-03T19:35:00,154.55
2021-01-03T19:55:00,123.89
2021-01-03T20:15:00,101.16
2021-01-03T20:35:00,77.75
2021-01-03T20:55:00,67.73
2021-01-03T21:15:00,NaN
2021-01-03T21:35:00,55.22
2021-01-03T21:55:00,60.95
2021-01-03T22:15:00,71.1
2021-01-03T22:35:00,85.26
2021-01-03T22:55:00,99.6
2021-01-03T23:15:00,110.6
2021-01-03T23:35:00,123.27
2021-01-03T23:55:00,134.63
2021-01-04T00:15:00,150.29
2021-01-04T00:35:00,165.72
2021-01-04T00:55:00,182.58
2021-01-04T01:15:00,203.12
2021-01-04T01:35:00,229.04
2021-01-04T01:55:00,NaN
2021-01-04T02:15:00,305.22
2021-01-04T02:35:00,350.21
2021-01-04T02:55:00,383.46
2021-01-04T03:15:00,404.64
2021-01-04T03:35:00,411.95
2021-01-04T03:55:00,413.03
2021-01-04T04:15:00,402.33
2021-01-04T04:35:00,390.4
2021-01-04T04:55:00,376.54
2021-01-04T05:15:00,358.21
2021-01-04T05:35:00,340.02
2021-01-04T05:55:00,316.39
2021-01-04T06:15:00,289.81
2021-01-04T06:35:00,262.48
2021-01-04T06:55:00,230.73
2021-01-04T07:15:00,200.58
2021-01-04T07:35:00,167.53
2021-01-04T07:55:00,136.88
2021-01-04T08:15:00,111.28
2021-01-04T08:35:00,84.64
2021-01-04T08:55:00,62.71
2021-01-04T09:15:00,44.35
2021-01-04T09:35:00,30.57
2021-01-04T09:55:00,21.72
2021-01-04T10:15:00,21.04
2021-01-04T10:35:00,24.32
2021-01-04T10:55:00,38.74
2021-01-04T11:15:00,54.64
2021-01-04T11:35:00,73.32
2021-01-04T11:55:00,90.87
2021-01-04T12:15:00,108.51
2021-01-04T12:35:00,124.83
2021-01-04T12:55:00,143.7
2021-01-04T13:15:00,167.08
2021-01-04T13:35:00,192.26
2021-01-04T13:55:00,227.01
2021-01-04T14:15:00,267.14
2021-01-04T14:35:00,316.3
2021-01-04T14:55:00,361.16
2021-01-04T15:15:00,393.8
2021-01-04T15:35:00,412.82
2021-01-04T15:55:00,421.29
2021-01-04T16:15:00,NaN
2021-01-04T16:35:00,414.66
2021-01-04T16:55:00,405.72
2021-01-04T17:15:00,392.61
2021-01-04T17:35:00,376.95
2021-01-04T17:55:00,356.31
2021-01-04T18:15:00,333.83
2021-01-04T18:35:00,307.78
2021-01-04T18:55:00,278.56
2021-01-04T19:15:00,247.22
2021-01-04T19:35:00,216.08
2021-01-04T19:55:00,186.6
2021-01-04T20:15:00,155.22
2021-01-04T20:35:00,NaN
2021-01-04T20:55:00,104.83
2021-01-04T21:15:00,85
2021-01-04T21:35:00,70.55
2021-01-04T21:55:00,62.64
2021-01-04T22:15:00,58.37
2021-01-04T22:35:00,66.24
2021-01-04T22:55:00,74.21
2021-01-04T23:15:00,88.42
2021-01-04T23:35:00,101.01
2021-01-04T23:55:00,117.41
2021-01-05T00:15:00,126.74
2021-01-05T00:35:00,141.7
2021-01-05T00:55:00,154.03
2021-01-05T01:15:00,170.8
2021-01-05T01:35:00,183.55
2021-01-05T01:55:00,202.96
2021-01-05T02:15:00,224.31
2021-01-05T02:35:00,253.04
2021-01-05T02:55:00,286.47
2021-01-05T03:15:00,323.31
2021-01-05T03:35:00,360.53
2021-01-05T03:55:00,384.7
2021-01-05T04:15:00,399.01
2021-01-05T04:35:00,399.74
2021-01-05T04:55:00,395.11
2021-01-05T05:15:00,383.02
2021-01-05T05:35:00,368.73
2021-01-05T05:55:00,352.13
2021-01-05T06:15:00,333.74
2021-01-05T06:35:00,315.78
2021-01-05T06:55:00,289.35
2021-01-05T07:15:00,262.85
2021-01-05T07:35:00,233.82
2021-01-05T07:55:00,203.15
2021-01-05T08:15:00,171.9
2021-01-05T08:35:00,143.61
2021-01-05T08:55:00,NaN
2021-01-05T09:15:00,NaN
2021-01-05T09:35:00,68.12
2021-01-05T09:55:00,49.2
2021-01-05T10:15:00,35.08
2021-01-05T10:35:00,26.59
2021-01-05T10:55:00,NaN
2021-01-05T11:15:00,27.08
2021-01-05T11:35:00,37.96
2021-01-05T11:55:00,52.72
2021-01-05T12:15:00,71.25
2021-01-05T12:35:00,85.38
2021-01-05T12:55:00,103.46
2021-01-05T13:15:00,118.19
2021-01-05T13:35:00,138.32
2021-01-05T13:55:00,156.04
2021-01-05T14:15:00,184.01
2021-01-05T14:35:00,214.15
2021-01-05T14:55:00,251.12
2021-01-05T15:15:00,297.15
2021-01-05T15:35:00,NaN
2021-01-05T15:55:00,378.52
2021-01-05T16:15:00,399.79
2021-01-05T16:35:00,413.86
2021-01-05T16:55:00,NaN
2021-01-05T17:15:00,413.28
2021-01-05T17:35:00,405.75
2021-01-05T17:55:00,395.13
2021-01-05T18:15:00,381.01
2021-01-05T18:35:00,363.55
2021-01-05T18:55:00,342.52
2021-01-05T19:15:00,320.84
2021-01-05T19:35:00,293.31
2021-01-05T19:55:00,265.35
2021-01-05T20:15:00,237.94
2021-01-05T20:35:00,205.2
2021-01-05T20:55:00,178.04
2021-01-05T21:15:00,147.99
2021-01-05T21:35:00,123.13
2021-01-05T21:55:00,100.78
2021-01-05T22:15:00,87.11
2021-01-05T22:35:00,72.76
2021-01-05T22:55:00,68.44
2021-01-05T23:15:00,66.25
2021-01-05T23:35:00,72.92
2021-01-05T23:55:00,80.59
2021-01-06T00:15:00,94.22
2021-01-06T00:35:00,105.21
2021-01-06T00:55:00,118.36
2021-01-06T01:15:00,130.09
2021-01-06T01:35:00,143.8
2021-01-06T01:55:00,158.46
2021-01-06T02:15:00,172.59
2021-01-06T02:35:00,190.81
2021-01-06T02:55:00,211.55
2021-01-06T03:15:00,239.01
2021-01-06T03:35:00,269.01
2021-01-06T03:55:00,305.11
2021-01-06T04:15:00,340.59
2021-01-06T04:35:00,368.89
2021-01-06T04:55:00,384.72
2021-01-06T05:15:00,391.55
2021-01-06T05:35:00,389.05
2021-01-06T05:55:00,380.18
2021-01-06T06:15:00,369.64
2021-01-06T06:35:00,355.98
2021-01-06T06:55:00,338.47
2021-01-06T07:15:00,322.52
2021-01-06T07:35:00,302.14
2021-01-06T07:55:00,278.86
2021-01-06T08:15:00,253.8
2021-01-06T08:35:00,226.31
2021-01-06T08:55:00,202.08
2021-01-06T09:15:00,169.57
2021-01-06T09:35:00,145.94
2021-01-06T09:55:00,116.45
2021-01-06T10:15:00,95.43
2021-01-06T10:35:00,73.91
2021-01-06T10:55:00,56.06
2021-01-06T11:15:00,43.05
2021-01-06T11:35:00,35.18
2021-01-06T11:55:00,33.48
2021-01-06T12:15:00,NaN
2021-01-06T12:35:00,45.54
2021-01-06T12:55:00,60.32
2021-01-06T13:15:00,75.4
2021-01-06T13:35:00,91.43
2021-01-06T13:55:00,106.29
2021-01-06T14:15:00,124.9
2021-01-06T14:35:00,NaN
2021-01-06T14:55:00,NaN
2021-01-06T15:15:00,196.7
2021-01-06T15:35:00,230.72
2021-01-06T15:55:00,269.84
2021-01-06T16:15:00,312.29
2021-01-06T16:35:00,351.06
