datum,value
2021-11-24T21:30:00,7
2021-11-24T23:30:00,4
2021-11-25T01:30:00,3
2021-11-25T03:30:00,5
2021-11-25T05:30:00,7
2021-11-25T07:30:00,6
2021-11-25T09:30:00,6
2021-11-25T11:30:00,5
2021-11-25T13:30:00,7
2021-11-25T15:30:00,8
2021-11-25T17:30:00,9
2021-11-25T19:30:00,10
2021-11-25T21:30:00,12
2021-11-25T23:30:00,17
2021-11-26T01:30:00,22
2021-11-26T03:30:00,29
2021-11-26T05:30:00,26
2021-11-26T07:30:00,25
2021-11-26T09:30:00,18
2021-11-26T11:30:00,14
2021-11-26T13:30:00,11
2021-11-26T15:30:00,15
2021-11-26T17:30:00,17
2021-11-26T19:30:00,16
2021-11-26T21:30:00,17
2021-11-26T23:30:00,15
2021-11-27T01:30:00,15
2021-11-27T03:30:00,16
2021-11-27T05:30:00,15
2021-11-27T07:30:00,17
2021-11-27T09:30:00,18
2021-11-27T11:30:00,19
2021-11-27T13:30:00,21
2021-11-27T15:30:00,32
2021-11-27T17:30:00,55
2021-11-27T19:30:00,56
2021-11-27T21:30:00,47
2021-11-27T23:30:00,44
2021-11-28T01:30:00,50
2021-11-28T03:30:00,53
2021-11-28T05:30:00,53
2021-11-28T07:30:00,43
2021-11-28T09:30:00,61
2021-11-28T11:30:00,55
2021-11-28T13:30:00,40
2021-11-28T15:30:00,30
2021-11-28T17:30:00,22
2021-11-28T19:30:00,19
2021-11-28T21:30:00,24
2021-11-28T23:30:00,22
2021-11-29T01:30:00,15
2021-11-29T03:30:00,15
2021-11-29T05:30:00,13
2021-11-29T07:30:00,14
2021-11-29T09:30:00,17
2021-11-29T12:00:00,20
2021-11-29T14:00:00,18
2021-11-29T16:00:00,19
2021-11-29T18:00:00,13
2021-11-29T20:00:00,13
2021-11-29T22:00:00,13
2021-11-30T00:00:00,12
2021-11-30T02:00:00,13
2021-11-30T04:00:00,9
2021-11-30T06:00:00,9
2021-11-30T08:00:00,9
2021-11-30T10:00:00,11
2021-11-30T12:00:00,10
2021-11-30T14:00:00,9
2021-11-30T16:00:00,8
2021-11-30T18:00:00,5
2021-11-30T20:00:00,5
2021-11-30T22:00:00,8
2021-12-01T00:00:00,11
2021-12-01T02:00:00,14
2021-12-01T04:00:00,18
2021-12-01T06:00:00,18
2021-12-01T08:00:00,18
2021-12-01T10:00:00,20
2021-12-01T12:00:00,18
2021-12-01T14:00:00,18
2021-12-01T16:00:00,25
2021-12-01T18:00:00,24
2021-12-01T20:00:00,38
2021-12-01T22:00:00,60
2021-12-02T00:00:00,80
2021-12-02T02:00:00,78
2021-12-02T04:00:00,52
2021-12-02T06:00:00,51
2021-12-02T08:00:00,51
2021-12-02T10:00:00,71
2021-12-02T12:00:00,91
2021-12-02T14:00:00,70
2021-12-02T16:00:00,46
2021-12-02T18:00:00,33
2021-12-02T20:00:00,27
2021-12-02T22:00:00,20
2021-12-03T00:00:00,34
2021-12-03T02:00:00,30
2021-12-03T04:00:00,25
2021-12-03T06:00:00,14
2021-12-03T08:00:00,11
2021-12-03T10:00:00,9
2021-12-03T12:00:00,14
2021-12-03T14:00:00,14
2021-12-03T16:00:00,10
2021-12-03T18:00:00,9
2021-12-03T20:00:00,8
2021-12-03T22:00:00,8
2021-12-04T00:00:00,14
2021-12-04T02:00:00,15
2021-12-04T04:00:00,14
2021-12-04T06:00:00,10
2021-12-04T08:00:00,8
2021-12-04T10:00:00,5
2021-12-04T12:00:00,7
2021-12-04T14:00:00,12
2021-12-04T16:00:00,11
2021-12-04T18:00:00,10
2021-12-04T20:00:00,9
2021-12-04T22:00:00,8
2021-12-05T00:00:00,9
2021-12-05T02:00:00,8
2021-12-05T04:00:00,9
2021-12-05T06:00:00,8
2021-12-05T08:00:00,7
2021-12-05T10:00:00,4
2021-12-05T12:00:00,4
2021-12-05T14:00:00,5
2021-12-05T16:00:00,6
2021-12-05T18:00:00,10
2021-12-05T20:00:00,9
2021-12-05T22:00:00,7
2021-12-06T00:00:00,10
2021-12-06T02:00:00,28
2021-12-06T04:00:00,33
2021-12-06T06:00:00,26
2021-12-06T08:00:00,17
2021-12-06T10:00:00,6
2021-12-06T12:00:00,3
2021-12-06T14:00:00,5
2021-12-06T16:00:00,7
2021-12-06T18:00:00,6
2021-12-06T20:00:00,4
2021-12-06T22:00:00,5
2021-12-07T00:00:00,8
2021-12-07T02:00:00,10
2021-12-07T04:00:00,8
2021-12-07T06:00:00,4
2021-12-07T08:00:00,4
2021-12-07T10:00:00,3
2021-12-07T12:00:00,2
2021-12-07T14:00:00,2
2021-12-07T16:00:00,3
2021-12-07T18:00:00,2
2021-12-07T20:00:00,3
2021-12-07T22:00:00,3
2021-12-08T00:00:00,3
2021-12-08T02:00:00,4
2021-12-08T04:00:00,5
2021-12-08T06:00:00,7
2021-12-08T08:00:00,9
2021-12-08T10:00:00,9
2021-12-08T12:00:00,5
2021-12-08T14:00:00,4
2021-12-08T16:00:00,5
2021-12-08T18:00:00,5
2021-12-08T20:00:00,7
2021-12-08T22:00:00,7
2021-12-09T00:00:00,5
2021-12-09T02:00:00,4
2021-12-09T04:00:00,4
2021-12-09T06:00:00,5
