datum,value
2021-11-24T21:30:00,304
2021-11-24T23:30:00,299
2021-11-25T01:30:00,285
2021-11-25T03:30:00,295
2021-11-25T05:30:00,329
2021-11-25T07:30:00,334
2021-11-25T09:30:00,331
2021-11-25T11:30:00,337
2021-11-25T13:30:00,342
2021-11-25T15:30:00,342
2021-11-25T17:30:00,336
2021-11-25T19:30:00,350
2021-11-25T21:30:00,332
2021-11-25T23:30:00,326
2021-11-26T01:30:00,313
2021-11-26T03:30:00,302
2021-11-26T05:30:00,289
2021-11-26T07:30:00,276
2021-11-26T09:30:00,282
2021-11-26T11:30:00,264
2021-11-26T13:30:00,255
2021-11-26T15:30:00,280
2021-11-26T17:30:00,278
2021-11-26T19:30:00,303
2021-11-26T21:30:00,325
2021-11-26T23:30:00,316
2021-11-27T01:30:00,301
2021-11-27T03:30:00,268
2021-11-27T05:30:00,277
2021-11-27T07:30:00,284
2021-11-27T09:30:00,2
2021-11-27T11:30:00,360
2021-11-27T13:30:00,346
2021-11-27T15:30:00,341
2021-11-27T17:30:00,329
2021-11-27T19:30:00,318
2021-11-27T21:30:00,346
2021-11-27T23:30:00,360
2021-11-28T01:30:00,2
2021-11-28T03:30:00,357
2021-11-28T05:30:00,354
2021-11-28T07:30:00,352
2021-11-28T09:30:00,1
2021-11-28T11:30:00,11
2021-11-28T13:30:00,344
2021-11-28T15:30:00,358
2021-11-28T17:30:00,357
2021-11-28T19:30:00,358
2021-11-28T21:30:00,353
2021-11-28T23:30:00,339
2021-11-29T01:30:00,330
2021-11-29T03:30:00,330
2021-11-29T05:30:00,323
2021-11-29T07:30:00,318
2021-11-29T09:30:00,328
2021-11-29T12:00:00,332
2021-11-29T14:00:00,320
2021-11-29T16:00:00,321
2021-11-29T18:00:00,306
2021-11-29T20:00:00,292
2021-11-29T22:00:00,271
2021-11-30T00:00:00,291
2021-11-30T02:00:00,275
2021-11-30T04:00:00,273
2021-11-30T06:00:00,271
2021-11-30T08:00:00,276
2021-11-30T10:00:00,270
2021-11-30T12:00:00,272
2021-11-30T14:00:00,285
2021-11-30T16:00:00,270
2021-11-30T18:00:00,268
2021-11-30T20:00:00,265
2021-11-30T22:00:00,260
2021-12-01T00:00:00,277
2021-12-01T02:00:00,268
2021-12-01T04:00:00,252
2021-12-01T06:00:00,247
2021-12-01T08:00:00,264
2021-12-01T10:00:00,283
2021-12-01T12:00:00,284
2021-12-01T14:00:00,286
2021-12-01T16:00:00,290
2021-12-01T18:00:00,304
2021-12-01T20:00:00,315
2021-12-01T22:00:00,311
2021-12-02T00:00:00,316
2021-12-02T02:00:00,320
2021-12-02T04:00:00,332
2021-12-02T06:00:00,336
2021-12-02T08:00:00,334
2021-12-02T10:00:00,313
2021-12-02T12:00:00,300
2021-12-02T14:00:00,332
